imgname,longitude,latitude,Number of signs on image,Number of texts per sign,language total,both script systems,content
plus-905.png,19.84490475,45.23854464,not categorizable,,#N/A,,#N/A
plus-515.png,19.84077901,45.24795499,not readable,,#N/A,,#N/A
plus-469.png,19.84573984,45.24420441,not readable,,#N/A,,#N/A
plus-138.png,19.84235479,45.24261391,1,1,SE,0,Sport
minus-8738.png,19.83765979,45.2425387,not readable,,#N/A,,#N/A
minus-8644.png,19.83758263,45.24598843,1,1,SE,0,Sport
minus-8642.png,19.83748653,45.24590424,1,1,SE,0,Sport
minus-8638.png,19.83729433,45.24573586,1,1,SE,0,Sport
minus-8441.png,19.83020919,45.23706261,1,1,SE,0,Address to Person
minus-8441.png,19.83020919,45.23706261,1,1,SE,0,Neighborhood Identity
minus-8431.png,19.82957401,45.23700355,1,1,SE,1,Address to Person
minus-8431.png,19.82957401,45.23700355,1,1,SE,1,Neighborhood Identity
minus-8431.png,19.82957401,45.23700355,1,1,SE,1,Sport
minus-7869.png,19.83261558,45.2415374,not readable,,#N/A,,#N/A
minus-7837.png,19.84771465,45.23914965,not categorizable,,#N/A,,#N/A
minus-7763.png,19.84566165,45.2373474,1,1,SE,1,Politics
minus-7763.png,19.84566165,45.2373474,1,1,SE,1,Address to Person
minus-7763.png,19.84566165,45.2373474,1,1,SE,1,Nationalist
minus-7761.png,19.84558119,45.23744663,not readable,,#N/A,,#N/A
minus-7738.png,19.84370737,45.24219565,1,1,SE,0,Address to Person 
minus-7732.png,19.8435219,45.24253105,not readable,,#N/A,,#N/A
minus-7729.png,19.84343036,45.24269941,not readable,,#N/A,,#N/A
minus-7721.png,19.84318162,45.24314583,1,1,SE,0,Address to Person 
minus-7639.png,19.83971834,45.2411841,not readable,,#N/A,,#N/A
minus-7632.png,19.83928719,45.24106551,1,1,EN,0,Nationalist
minus-7031.png,19.82729879,45.24044122,1,1,EN,0,Address to Person 
minus-7029.png,19.8408718,45.24823975,not readable,,#N/A,,#N/A
minus-6558.png,19.8346426,45.23917064,1,1,SE ,0,Sport
minus-6525.png,19.84796042,45.2442621,not categorizable,,SE ,,#N/A
minus-6309.png,19.8285068,45.23728009,1,1,SE,1,Politics
minus-6309.png,19.8285068,45.23728009,1,1,SE,1,Sport
minus-6309.png,19.8285068,45.23728009,1,1,SE,1,Address to Person
